samples,P1,P11,P12,P14,P15,P16,P18,P2,P22,P24,P26,P27,P29,P3,P30,P4,P5,P6,P9,
3156,0,0.256334418,0.514874142,0,0,0.005830904,0,0.423565653,0.382653061,0,0.252525253,0,0.234316754,0,0.617811995,0.734933856,0,0.245056617,0.161967606,
3055,0,0.009859016,0.085812357,0.303070233,0.13363401,0.705539359,0.179571901,0.061609549,0.204081633,0,0.303030303,0.013618412,0.170412184,0.21872634,0,0,0.64289889,0.050701369,0.137972406,
5495,0.851442369,0,0,0.368955067,0.158690387,0.005830904,0,0.100115518,0,0,0.404040404,0.013618412,0.340824369,0.302851855,0.0095048,0,0,0.016900456,0.0059988,
5355,0.012708095,0,0.085812357,0.368955067,0.150338261,0.728862974,0.150840396,0.030804775,0.280612245,0,0.303030303,0,0.085206092,0.252376546,0,0.008165932,0.584453536,0.126753422,0.227954409,
1744,0.012708095,0,0.028604119,0,0.576296668,0,0.086194512,0.030804775,0.102040816,0.122193371,0.212121212,0.245131418,1.075726914,0,0,0,0,0.261957073,0.191961608,
1119,0,0,1.773455378,0,0,0,0,0,0,0,0,0,0,0,0.0190096,0,0,0,0.635872825,
751,1.169144745,0,0.028604119,0.487547767,0.141986135,0.011661808,0.064645884,0.092414324,0,0.015274171,0.484848485,0,0.447331984,0.471102886,0,0.008165932,0,0,0,
565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.865626875,
702,3.278688525,0,0,0,0,0,0.007182876,0,0,0,1,0,0,0,0,0,0,0,0,
5912,0.012708095,0,0,0,0,0.081632653,0.495618446,0.046207162,0,0.534595998,0,0,0,0.622528813,0,0.342969133,0,0,0.311937612,
4471,0.063540475,1.538006507,0,0.013176967,0.292324397,0.005830904,0,0.007701194,0.739795918,0.175652971,0.050505051,0.027236824,0,0.344914613,0.0095048,0,0,0.473212777,0.0059988,
4239,0.826026179,0.019718032,0,0.289893267,0.100225507,0.011661808,0,0.092414324,0,0,0.343434343,0,0.4153797,0.395389922,0.0190096,0,0,0,0,
4941,0,0,0,0.006588483,0,0.087463557,0.517167074,0.061609549,0,0.580418512,0,0,0,0.816017498,0,0.326637269,0.029222677,0,0.25794841,
5250,0.584572373,0,0,0.368955067,0.125281884,0.017492711,0.03591438,0.061609549,0,0,0.464646465,0,0.436681223,0.269201649,0,0,2.863822326,0.008450228,0.0119976,
5797,0,0,0.028604119,0.270127817,0.34243715,0.629737609,0.122108892,0.038505968,0.255102041,0,0.222222222,0,0.031952285,0.134600824,0,0,0.467562829,0.211255704,0.119976005,
5774,0,0,0.028604119,0.230596917,0.40090203,0.472303207,0.208303405,0.077011937,0.255102041,0,0.272727273,0,0.095856854,0.176663582,0,0,0.321449445,0.143653879,0.143971206,
5039,0,0,0,0,0,0.069970845,0.574630082,0.030804775,0,0.450588056,0.01010101,0,0,0.757129637,0,0.342969133,0,0,0.305938812,
3176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.733653269,
4631,0,0,0,0,0,1.387755102,0,0.631497882,0,0,0,0,0,0,0,0,0,0,0,
4473,0.07624857,1.538006507,0,0.013176967,0.309028648,0.011661808,0.007182876,0,0.765306122,0.129830457,0.060606061,0,0,0.210313788,0.0095048,0,0,0.540814602,0.0059988,
5150,1.143728555,0.019718032,0,0.421662933,0.167042512,0.005830904,0,0.123219099,0,0,0.393939394,0,0.468633507,0.403802473,0,0,0.496785506,0.033800913,0.0059988,
3717,0,0,0,0.006588483,0,0,0,0,0.153061224,0,0.01010101,0,0,0,3.241136774,0,0,0,0,
427,0,0,0,0.283304783,0.367493527,0.43148688,0.229852033,0.046207162,0.280612245,0,0.222222222,0,0.085206092,0.227138891,0,0,0.350672122,0.118303194,0.101979604,
5580,0.864150464,0,0,0.53366715,0.175394638,0.011661808,0,0.123219099,0,0,0.454545455,0,0.457982746,0.395389922,0,0,0,0.008450228,0,
4524,0,0,0,0,0,1.457725948,0,0.7316134,0,0,0,0,0,0,0,0,0,0,0.0059988,
6094,0.152497141,0.256334418,0.143020595,0.230596917,0.175394638,0.005830904,0.193937653,0.161725067,0.306122449,0.244386742,0,0.51749966,0.159761423,0.067300412,0.247124798,0.138820839,0,0.194355248,0.083983203,
4885,0,0.27605245,0.343249428,0,0,0.005830904,0,0.454370427,0.280612245,0,0.181818182,0.013618412,0.372776654,0,0.541773596,0.530785563,0,0.219705932,0.167966407,
2118,0,0.187321305,0.257437071,0,0,0,0,0.377358491,0.255102041,0,0.131313131,0,0.298221323,0.008412552,0.532268796,0.61244488,0,0.169004563,0.113977205,
4908,0.012708095,0,0,0,0,0.087463557,0.474069818,0.023103581,0,0.450588056,0,0,0,0.49634054,0,0.66144047,0,0,0.275944811,
4494,0.127080951,1.38026225,0,0,0.300676522,0,0,0,0.408163265,0.183290057,0.070707071,0.027236824,0,0.269201649,0,0,0.029222677,0.557715058,0,
