ID,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226
species,P1,P11,P12,P14,P15,P16,P18,P2,P22,P24,P26,P27,P29,P3,P30,P4,P5,P6,P9,BC1,BC10,BC11,BC12,BC14,BC15,BC16,BC17,BC18,BC19,BC20,BC21,BC23,BC24,BC25,BC26,BC27,BC28,BC3,BC30,BC4,BC5,BC6,BC7,BC8,BC9
Acinetobacter sp. ,0,0,0,0,0,0,0.007182876,0,0,0,2.848484848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bergeyella sp. ,0,0,0,0,2.288482419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cardiobacterium hominis ,0,0,0,0,3.390963,0,0,0,0,0,0,0,0,0,0.912460793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cupriavidus gilardii ,0,0.009859016,0,0.006588483,0.008352126,0.221574344,1.659244361,0.107816711,0,1.641973423,0,0,0,1.976949609,0,1.069737056,0.058445354,0,0.767846431,0.353831137,0,0,2.618816682,0,0,0,1.821730644,0,0.027240534,1.213532729,0,1.576499944,0.011724704,0,0,0.018685477,0.969737502,0,0,2.246744998,0.623320796,0,1.33699206,0,1.011678012
Delftia acidovorans ,0.012708095,0,0,0,0,0,1.077431404,0,0,0,0,0,0,0.008412552,0,0,0,0,2.531493701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacter hormaechei ,0,2.514049098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035992801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemella sp. ,0,0,0,0,0,0,11.06162907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingella sp. ,4.092006608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kocuria sp. ,2.567035201,0,0,0,0,0,0,0,0,0,0.858585859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kytococcus sedentarius ,18.36319736,0,0,0,0,0,0.007182876,0,0,0,4.91919192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus reuteri genosp. 2 ,0,0,32.15102975,0,0,0,1.242637552,0,0,0,0,0,0,0,0,0,0,0,39.25014997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lautropia mirabilis ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.071887785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraxella catarrhalis ,0,0,0,0.032942416,0,0,0,0,0.484693876,0,0.05050505,0,0,0,20.41631024,0,0,0.008450228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraxella osloensis ,0,0,0,0.01976545,0,0,0,0,1.785714286,1.871085994,0,0,0,0,0,0,0,0.016900456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria sp. ,0.05083238,0.04929508,0.028604119,0.013176966,0.016704252,2.64723032,13.92759661,1.532537543,0,16.26699252,0.02020202,0,0.010650762,19.68537057,0.0095048,9.970602646,0.3798948,0,7.000599883,5.295265984,0,0,37.57516974,0.008334722,0,0,24.56833992,0,0.217924272,18.51556754,0,24.67392537,0.140696448,0.042034468,0,0.107441487,15.77495402,0.090368614,0.068865255,32.82788187,8.226759809,0,21.40354974,0.01291656,15.47492663
Ochrobactrum anthropi ,0,0.019718032,0.143020595,0,0.033408504,28.43148688,0,13.74663073,0.025510204,0,0,0,0,0,0,0,0,0,0.0179964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottowia sp. ,0,0,0,0,0,0,0.56026433,0,0,0,0,0,0,0.016825103,0,0.008165932,0,0,1.115776845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedobacter sp. ,0,0,0,0,0,0,0.050280132,0,0,2.100198564,20.22222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyrobacter tepidarius ,0.02541619,0,0,0,0,0,0,0,0,0,0,0.013618412,0,0,0,0,6.545879603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porphyromonas asaccharolytica ,0,0,0,0,0,0,2.815687401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
