samples,BC1,BC10,BC11,BC12,BC14,BC15,BC16,BC17,BC18,BC19,BC20,BC21,BC23,BC24,BC25,BC26,BC27,BC28,BC3,BC30,BC4,BC5,BC6,BC7,BC8,BC9
6028,0.201317716,0.27446137,0.21629416,0.03233107,0.241706951,0.078864353,0.269204884,0.125118863,0.436187399,0.172523381,0.079676391,0.277637557,0.130429851,0.105522336,0.126103405,0.098716683,0.22889709,0.167196121,0.261593341,0.283112709,0.087329311,0.231058571,0.054229935,0.093414292,0.167915267,0.131143446
6029,0.323328453,0.535199671,0.504686373,0.116391853,0.725120853,0.164300736,0.576867609,0.375356589,0.654281099,0.544810678,0.275802893,0.641090358,0.311897471,0.11724704,0.336275746,0.400350993,0.635306208,0.342752048,0.604042806,0.596832198,0.261987933,0.488984417,0.32537961,0.180990191,0.5360372,0.28102167
6055,0.579551,0.974337862,1.153568854,0.148722923,0.958493082,0.256309148,0.884530334,0.630599069,1.147011309,0.681013348,0.294189752,0.903584048,0.606782352,0.94970102,0.588482556,0.592300099,1.163170925,0.626985454,0.970273484,0.910551687,0.444585583,0.875873186,0.343456255,0.169313405,1.06561612,0.505839006
6056,0.305026842,0.590091945,0.504686373,0.077594568,0.641773629,0.111724501,0.374963946,0.330313798,0.678513732,0.335966585,0.165481736,0.403836446,0.209821935,0.492437566,0.189155107,0.279697269,0.62596347,0.334392242,0.623067776,0.474405081,0.222292791,0.317033853,0.14461316,0.105091079,0.452079566,0.21857241
6088,0.439238653,0.521476602,0.807498198,0.084060782,0.675112519,0.11829653,0.692241131,0.450427907,0.888529887,0.544810678,0.281931846,0.636042403,0.436656459,0.914526908,0.525430853,0.477130635,0.91091699,0.326032436,0.689655172,0.589180503,0.269926961,0.478237507,0.14461316,0.122606259,0.736243865,0.237307188
6090,0.2318204,0.494030465,0.374909877,0.077594568,0.400066678,0.098580442,0.471108547,0.270256744,0.573505654,0.263325161,0.208384408,0.474507824,0.272201429,0.750381053,0.273224044,0.30163431,0.523193348,0.284233406,0.585017836,0.374933048,0.198475707,0.370768404,0.162689805,0.058383933,0.387496771,0.237307188
6091,0.250122011,0.466584328,0.562364816,0.077594568,0.550091682,0.131440589,0.528795308,0.360342325,0.694668821,0.426768365,0.171610689,0.530035336,0.323239197,0.539336382,0.294241278,0.367445432,0.766104545,0.351111854,0.651605232,0.497360165,0.174658622,0.392262225,0.198843095,0.087575899,0.516662361,0.21857241
6118,0.201317716,0.411692054,0.273972603,0.045263498,0.266711119,0.124868559,0.336506105,0.21019969,0.484652666,0.245164805,0.128708017,0.35335689,0.153113304,0.281392895,0.168137873,0.197433366,0.434437334,0.234074569,0.423305589,0.336674573,0.111146396,0.274046212,0.14461316,0.099252686,0.368121932,0.131143446
6120,0.183016105,0.397968986,0.302811824,0.051729712,0.500083347,0.065720294,0.326891645,0.225213953,0.436187399,0.317806229,0.110321157,0.373548713,0.25518884,0.234494079,0.084068937,0.191949106,0.448451441,0.234074569,0.37098692,0.329022879,0.142902509,0.365394949,0.10845987,0.081737506,0.374580212,0.131143446
6124,0.09760859,0.233292164,0.187454939,0.03233107,0.208368061,0.138012618,0.278819344,0.215204444,0.34733441,0.172523381,0.140965923,0.267541646,0.181467619,0.316567007,0.147120639,0.120653724,0.350352688,0.133756897,0.285374554,0.191292371,0.04763417,0.252552391,0.07230658,0.029191966,0.258331181,0.149878224
6154,0.280624695,0.507753534,0.374909877,0.103459425,0.691781964,0.105152471,0.519180848,0.280266253,0.694668821,0.435848543,0.153223829,0.565371025,0.300555745,0.164145855,0.378310214,0.274213009,0.537207456,0.208995151,0.508917955,0.397888132,0.13496348,0.445996776,0.090383225,0.052545539,0.762076983,0.231062262
6156,0.274524158,0.562645808,0.475847152,0.06466214,0.458409735,0.11829653,0.480723007,0.395375607,0.613893376,0.399527831,0.165481736,0.418980313,0.300555745,0.105522336,0.294241278,0.30711857,0.616620732,0.292593212,0.447086801,0.405539827,0.198475707,0.435249866,0.07230658,0.128444652,0.464996125,0.199837632
6158,0.219619327,0.411692054,0.230713771,0.058195926,0.50841807,0.124868559,0.365349486,0.230218708,0.516962843,0.326886407,0.085805344,0.373548713,0.153113304,0.11724704,0.105086171,0.235823187,0.392395011,0.267513794,0.35196195,0.336674573,0.214353763,0.306286943,0.07230658,0.105091079,0.348747094,0.224817336
6185,0.2318204,0.35679978,0.43258832,0.06466214,0.450075013,0.111724501,0.605710989,0.31029478,0.662358643,0.354126941,0.140965923,0.43412418,0.25518884,0.093797632,0.231189575,0.213886147,0.639977577,0.284233406,0.475624257,0.512663555,0.23023182,0.424502955,0.18076645,0.075899113,0.548953759,0.181102854
6186,0.256222548,0.507753534,0.576784427,0.129324281,0.658443074,0.190588854,0.605710989,0.450427907,0.694668821,0.472169255,0.208384408,0.519939425,0.408302144,0.234494079,0.273224044,0.257760228,0.79413276,0.367831466,0.637336504,0.619787283,0.23023182,0.574959699,0.198843095,0.151798225,0.574786877,0.287266596
6189,0.219619327,0.562645808,0.533525595,0.116391853,0.50841807,0.085436383,0.528795308,0.300285271,0.589660743,0.326886407,0.159352783,0.504795558,0.294884881,0.070348224,0.315258512,0.30711857,0.714719484,0.259153988,0.447086801,0.466753386,0.206414735,0.462117141,0.162689805,0.169313405,0.458537846,0.293511522
6219,0.439238653,0.80966104,0.663302091,0.129324281,0.666777796,0.151156677,0.721084511,0.585556278,0.888529887,0.472169255,0.324834518,0.858152448,0.487694227,0.211044671,0.483396385,0.531973237,0.882888775,0.601906036,0.846611177,0.856989823,0.428707526,0.623320795,0.21691974,0.192666978,0.774993542,0.268531818
6220,0.225719863,0.45286126,0.418168709,0.058195926,0.166694449,0.046004206,0.528795308,0.285271007,0.137318255,0.236084627,0.220642314,0.429076224,0.391289554,0.011724704,0.189155107,0.131622244,0.429765964,0.284233406,0.385255648,0.497360165,0.18259765,0.177324019,0.126536515,0.075899113,0.12916559,0.043714482
6242,3.257686676,0.850830246,0.014419611,0.245716133,1.133522254,0,0.115373522,0.46544217,0.008077544,1.053300645,2.102230939,0.848056537,0.005670863,1.149020987,0.021017234,3.871887682,0.434437334,0.008359806,0.042806183,0,0.007939028,1.123052123,3.181489516,2.574731434,1.246447946,1.161556236
6245,0.915080527,0.247015233,0.014419611,0.077594568,0.258376396,0,0.048072301,0.120114108,0,0.372287297,0.545476833,0.166582534,0,0.398639934,0,1.140726116,0.144812445,0.008359806,0,0,0,0.403009135,0.795372379,0.712283979,0.387496771,0.287266596
6246,0.3477306,0.109784548,0,0.019398642,0.116686114,0,0,0.050047545,0,0.163443203,0.245158127,0.126198889,0,0.128971743,0,0.482614895,0.032699584,0,0,0,0,0.102095648,0.32537961,0.216020551,0.193748385,0.162368076
6293,0.469741337,0.123507616,0,0.025864856,0.091681947,0,0.01922892,0.045042791,0,0.13620267,0.26967394,0.065623423,0,0.164145855,0.021017234,0.411319513,0.037370953,0,0,0.099472033,0,0.134336378,0.307302965,0.175151798,0.200206665,0.09367389
6337,0.414836506,0.068615342,0,0.012932428,0.125020837,0,0.00961446,0.045042791,0.008077544,0.108962136,0.214513361,0.085815245,0,0.128971743,0.021017234,0.356476911,0.05605643,0,0.004756243,0.061213559,0,0.134336378,0.32537961,0.239374124,0.083957634,0.106163742
6340,0.378233285,0.109784548,0,0.006466214,0.083347225,0,0,0.050047545,0,0.081721602,0.189997548,0.080767289,0,0.128971743,0.021017234,0.372929692,0.05605643,0,0,0.030606779,0,0.096722192,0.25307303,0.239374124,0.13562387,0.087428964
6354,0.469741337,0.205846027,0,0.025864856,0.108351392,0,0,0.035033282,0,0.227004449,0.220642314,0.080767289,0,0.175870559,0,0.466162115,0.042042323,0,0,0.01530339,0,0.150456744,0.271149675,0.391172349,0.200206665,0.137388372
6356,0.262323084,0.096061479,0,0.012932428,0.100016669,0,0.01922892,0.025023773,0,0.118042314,0.189997548,0.055527511,0,0.105522336,0,0.31260283,0.032699584,0,0,0,0,0.102095648,0.18076645,0.233535731,0.116249031,0.09367389
6358,0.524646169,0.123507616,0.014419611,0.038797284,0.125020837,0,0.02884338,0.0550523,0,0.154363026,0.220642314,0.106007067,0,0.164145855,0,0.564878798,0.065399168,0,0.004756243,0.01530339,0,0.166577109,0.578452639,0.391172349,0.187290106,0.143633298
6378,0.146412884,0.137230685,0,0.116391853,0,0.558622503,0.115373522,0,0,0.245164805,0.159352783,0,0,0.046898816,0,0.186464846,0,0.108677479,0.080856124,0.099472033,0,0.075228372,0.379609544,0.058383933,0,0.137388372
6379,0.1159102,0.068615342,0.014419611,0.116391853,0,0.420609884,0.086530141,0,0,0.245164805,0.147094876,0.005047956,0,0.070348224,0,0.230338927,0,0.050158836,0.142687277,0.076516949,0,0.064481462,0.361532899,0.140121439,0.012916559,0.149878224
6380,0.170815032,0.096061479,0,0.122858067,0,0.538906414,0.124987982,0,0,0.217924271,0.13483697,0,0,0.070348224,0,0.186464846,0,0.117037285,0.161712247,0.153033897,0.007939028,0.059108006,0.451916124,0.081737506,0.00645828,0.174857928
6381,0.140312347,0.123507616,0,0.06466214,0,0.552050473,0.086530141,0,0,0.163443203,0.128708017,0.005047956,0,0.05862352,0,0.241307448,0,0.091957867,0.123662307,0.137730507,0,0.096722192,0.271149675,0.140121439,0.012916559,0.09367389
6399,0.176915569,0.150953753,0.014419611,0.181053993,0,0.650630915,0.153831362,0,0,0.208844093,0.202255455,0,0,0.093797632,0,0.246791708,0,0.108677479,0.14744352,0.099472033,0,0.118216013,0.307302965,0.128444652,0.019374839,0.256041966
6402,0.207418253,0.068615342,0,0.058195926,0,0.604626709,0.057686761,0,0,0.163443203,0.226771267,0,0,0.046898816,0,0.153559285,0,0.150476509,0.123662307,0.061213559,0,0.053734551,0.25307303,0.099252686,0.025833118,0.137388372
6421,0.201317716,0.123507616,0,0.129324281,0,0.676919033,0.086530141,0.005004755,0,0.172523381,0.159352783,0,0.005670863,0.023449408,0,0.257760228,0,0.142116703,0.118906064,0.114775423,0,0.123589468,0.469992769,0.128444652,0.032291398,0.18734778
